"Cтатус","Количество"
"Active","22"
"Superseded","9"
"Withdrawn","45"
"Final","178"
"Rejected","92"
"Deferred","30"
"Distutils-SIG list","4"
"Db-SIG list","2"
"Doc-SIG list","4"
"Csv list","1"
"Web-SIG list","3"
"Python-Dev list","11"
"Brett Cannon <brett at python.org>","11"
"Nick Coghlan","11"
"April Fool!","1"
"Barry Warsaw","3"
"Nick Coghlan <ncoghlan at gmail.com>","13"
"Donald Stufft <donald at stufft.io>","4"
"Georg Brandl","1"
"Barry Warsaw <barry at python.org>","6"
"Capi-SIG list","2"
"Richard Jones <richard at python.org>","3"
"Python-Dev message","1"
"Benjamin Peterson <benjamin at python.org>","3"
"Antoine Pitrou <solipsis at pitrou.net>","2"
"Python-Ideas list","5"
"Brett Cannon <brett at python.org>, Nick Coghlan <ncoghlan at gmail.com>","1"
"Martin von Löwis","1"
"Charles-François Natali <cf.natali at gmail.com>","1"
"Raymond Hettinger","1"
"Draft","13"
"Paul Moore <p.f.moore at gmail.com>","10"
"Victor Stinner <vstinner at python.org>","2"
"Mark Shannon","1"
"Eric Snow <ericsnowcurrently at gmail.com>","1"
"Datetime-SIG list","2"
"Core-Workflow list","1"
"Yury Selivanov <yury at edgedb.com>","1"
"INADA Naoki","2"
"Mark Mangoba <mmangoba at python.org>","1"
"Guido van Rossum <guido at python.org>","15"
"Antoine Pitrou <antoine at python.org>","3"
"Nathaniel J. Smith","1"
"Accepted","7"
"Daniel Holth","1"
"Stefan Behnel","1"
"Petr Viktorin","3"
"Christian Heimes <christian at python.org>","1"
"Discourse thread","20"
"Typing-SIG list","1"
"Thomas Wouters <thomas at python.org>","1"
"Petr Viktorin <encukou at gmail.com>","2"
"Ivan Levkivskyi <levkivskyi at gmail.com>","1"
"Chris Angelico <rosuav at gmail.com>","1"
"Paul Ganssle <paul at ganssle.io>","3"
"Eric V. Smith <eric at trueblade.com>","1"
"","4"
"Pablo Galindo <pablogsal at python.org>","2"
"Steven D’Aprano","1"
"Python-Dev thread","3"
"Pablo Galindo","1"
"Python-Ideas thread","1"
"Jelle Zijlstra <jelle.zijlstra at gmail.com>","3"
"Mariatta <mariatta at python.org>","1"
"Irit Katriel","1"
"Mark Dickinson <dickinsm at gmail.com>","1"
"Python-3000 list","4"
"Total: ","589"